test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel,method_folder,model_loaded
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.618135826366355,7.529714561430551,0.3965352844542594,0.0972738837190877,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.311635403286758,7.232316040446827,0.4751780446237509,0.1572831834818281,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,FC3,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.068182249230995,7.886325728251045,0.4638600788898084,0.140490321312713,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,FC1,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.63934462830506,8.359612390635654,0.4750008615011727,0.1354435332934803,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,FCz,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.066962541477922,7.929998612268659,0.4802673014397706,0.1492272175007296,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,FC2,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.569235755177514,7.508670932994227,0.5071771480704954,0.1691007205975182,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,FC4,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,7.568028399396224,5.9190234379130535,0.3778679054996807,0.1100580902479451,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,C5,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.050674136303297,7.902911842770263,0.3399402348558435,0.0666000861487695,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,C1,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.760809952220496,8.475749222189565,0.3599558081356965,0.0603320823611457,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,Cz,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.076281352954847,7.943506180475326,0.3905302625071326,0.0829420008013365,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,C2,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,8.111808474115861,6.399012795569114,0.5144851685428626,0.1627148826233442,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,C6,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.138492162984823,7.176090231116497,0.3054672752689071,0.0625391800329984,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,CP3,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.782321030645695,7.694028001619285,0.2615858807244846,0.0345406270848879,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,CP1,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,10.23047984670015,8.0551854984991,0.4204398988358644,0.0320882445727424,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,CPz,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.795294315446816,7.708820686261405,0.3555394342103987,0.0494647285713536,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,CP2,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.214460609638842,7.241019886025124,0.4122130472970277,0.091008482205337,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,CP4,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.315468374097184,7.330304690628199,0.3097847388242732,0.0661457489076974,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,P1,BEM_Dipole_Model,
A01T,5,"Fz,C3,C4,Pz,POz",17,bem_dipole_model,9.248838303958168,7.242571366656018,0.3465977946829321,0.0730384320646047,37.48585396386376,12.336840348032643,10.183055142089016,11.183647707484656,2.498071869118968,40,40000,P2,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,9.372024012328149,7.336090837209348,0.4660351226783651,0.1383707137930062,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,9.78896488273291,7.669599374151278,0.5334395932659651,0.1875022333859618,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,FC1,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,10.27864817894236,8.06739269347584,0.5821098070345693,0.1930704636831759,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,FCz,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,9.751804723436043,7.6691139131060275,0.5612461016427336,0.2016622335401949,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,FC2,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,7.533532303330722,5.897784565243264,0.3611068956264152,0.1181525512386292,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,C5,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,9.748296553531352,7.661275619006954,0.4612202654911302,0.1219184816680972,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,C1,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,9.748150039652844,7.671822185298471,0.5165000591156955,0.1416969762099751,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,C2,BEM_Dipole_Model,
A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_dipole_model,7.964258022151842,6.276464294901681,0.5126904880225572,0.1928975997572183,37.129822389885305,12.137086518972987,9.788291985419624,11.008909915289898,2.385229703440993,40,40000,C6,BEM_Dipole_Model,
