test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples
A04T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,1.6928718090057373,1.3244942426681519,0.9824326038360596,0.965089231014038,0.12238146454145782,0.11490830192805085,0.12018781101445528,0.5296231556722731,0.4903620985233278,40,20000
A04T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,1.9564926624298096,1.4847174882888794,0.9771649837493896,0.9546493692811459,0.1127805785242322,0.11972966189724285,0.14694632619639586,0.5047655198684952,0.430833344304289,40,20000
A05T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.0554821491241455,1.548858404159546,0.9731315970420837,0.9466903755886316,0.13242670253852767,0.14217649709635224,0.17662895462036385,0.6659680180407794,0.6181480651029081,40,20000
A05T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,1.6887474060058594,1.2896058559417725,0.9819979667663574,0.9642001344440203,0.08111138351653067,0.08064053462913226,0.10532170242591608,0.39775600157032825,0.3261290171089537,40,20000
A05T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,1.767829418182373,1.3439685106277466,0.9786031246185303,0.9573743379606753,0.11124409573346479,0.09297232722837681,0.12278769997502621,0.5577659854666353,0.4349422283077509,40,20000
A06T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,3.1886188983917236,2.4356908798217773,0.9626328945159912,0.9266075537042638,0.2931334708997931,0.37269393188900224,0.4217436041157737,1.6743094135943648,1.4423018141205217,40,20000
A06T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,2.5883283615112305,1.9363044500350952,0.9757689833641052,0.9517742462210725,0.2512626346694994,0.3208357823213976,0.42744231340077726,1.5046754846250052,1.1234451668618572,40,20000
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,3.000464677810669,2.2334911823272705,0.9657825231552124,0.9313029437167052,0.35214050881865727,0.36722002574037227,0.5022945509884985,1.7752829292610213,1.6467515284744259,40,20000
A07T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.168426752090454,1.6943672895431519,0.9665462970733643,0.9337996932278317,0.15666278042391488,0.1850437165278129,0.23175135625050935,0.8487336712698734,0.8085019976869204,40,20000
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,1.7463284730911255,1.3590916395187378,0.9782398343086243,0.9568735727523051,0.0727513855057471,0.08493824316629721,0.12650229454916853,0.4319187312228708,0.3524839195483652,40,20000
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,1.891272783279419,1.4618815183639526,0.9752288460731506,0.9500820029069532,0.048480405898673924,0.05133520682547233,0.060907369275749294,0.18150536754047544,0.2049702447611693,40,20000
A08T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.6758768558502197,2.057243824005127,0.9737788438796997,0.9478048442524666,0.30422731213880316,0.3573607344151217,0.5131156617990514,1.8108729230533942,1.6331487407642942,40,20000
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,1.9302231073379517,1.485533356666565,0.9862692952156067,0.9726603695024483,0.23461206094879183,0.28122701031327635,0.33105292604133324,1.2350919773536728,0.9793712956513776,40,20000
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,2.263430118560791,1.7080018520355225,0.9805234670639038,0.9614015330329564,0.2798466005460883,0.24327795045817457,0.33387173579859547,1.3348406555659125,1.1307133552347037,40,20000
A09T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,3.4109127521514893,2.61504864692688,0.9637380838394165,0.928756351496886,0.35966228755231316,0.42618754661095076,0.40164637767900596,1.7868467096785328,1.7129005135270101,40,20000
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,bem_residual,2.385080337524414,1.8020628690719604,0.9820584058761597,0.9643660479643381,0.10010457082995412,0.17686877708975512,0.18428742307166385,0.7781183773151803,0.6641697168806333,40,20000
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,bem_residual,3.10543155670166,2.285616636276245,0.9722402691841125,0.9451249046476662,0.5417072531359088,0.5706040344222804,0.8589638907212014,3.0637874449336584,2.5656933661201804,40,20000
