model_loaded,test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.2911508083343506,1.7656999826431274,0.974104642868042,0.9487830833400291,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.152095079421997,1.7009371519088745,0.9773848652839661,0.9548940062522888,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,FC3
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.205317735671997,1.7354620695114136,0.9791362285614014,0.9586374759674072,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,FC1
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.9302608966827393,2.274808645248413,0.9666141271591187,0.9343152642250061,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,FCz
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.0529656410217285,1.6104695796966553,0.9823378324508667,0.9644288420677185,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,FC2
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.3867273330688477,1.8627105951309204,0.9740689396858215,0.9481179714202881,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,FC4
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.9557390213012695,2.3570587635040283,0.9297177195549011,0.8636463284492493,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,C5
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.159743547439575,1.7108736038208008,0.9782801866531372,0.9568368792533875,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,C1
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.8871636390686035,2.2793381214141846,0.9659979939460754,0.9323928952217102,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,Cz
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,2.0364186763763428,1.620469570159912,0.9813699722290039,0.9624796509742737,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,C2
True,A01T,5,"Fz,C3,C4,Pz,POz",17,bem_residual,3.3311610221862793,2.653787136077881,0.9274340867996216,0.859836220741272,0.1666713495859257,0.19663800750179114,0.23814466860970956,1.0213533753640096,0.9437433058597235,40,20000,C6
