model_loaded,test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.7686331272125244,1.419376015663147,0.984069287776947,0.9680162072181702,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,CP1
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.9568121433258057,1.5509297847747803,0.981885552406311,0.9639295339584351,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,CPz
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.5722544193267822,1.2448925971984863,0.9877389669418335,0.9754905700683594,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,CP2
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.874295949935913,1.4770926237106323,0.9814685583114624,0.9632526636123657,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,CP4
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.8266453742980957,1.420961618423462,0.9816471338272095,0.9636080861091614,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,P1
True,A01T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.5768228769302368,1.2387125492095947,0.9864972829818726,0.9731525778770447,0.15367434421456735,0.17510359446901475,0.24577249946791535,0.9992785984683497,0.7687227198436861,273,20000,P2
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.8275071382522583,1.3852895498275757,0.9832978248596191,0.9668725522692293,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.6905461549758911,1.3375468254089355,0.9875228404998779,0.9751902222633362,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,FC1
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,2.0417604446411133,1.561179757118225,0.9836931228637695,0.9672038555145264,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,FCz
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.5891423225402832,1.2686067819595337,0.9892541170120239,0.978482186794281,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,FC2
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,2.7165367603302,2.1642098426818848,0.942898154258728,0.887065589427948,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,C5
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.707379937171936,1.3788174390792847,0.9861831665039062,0.9724939465522766,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,C1
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.6072999238967896,1.3008676767349243,0.9882136583328247,0.9765251278877258,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,C2
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,2.934382438659668,2.3327231407165527,0.9448977708816528,0.8918523788452148,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,C6
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.5117754936218262,1.2216460704803467,0.9882751703262329,0.9766315817832947,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,CP1
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.3490397930145264,1.0623369216918945,0.9913941025733948,0.9828563928604126,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,CPz
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.2134557962417603,0.9580860137939453,0.9927128553390503,0.9854006171226501,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,CP2
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.4709124565124512,1.1422410011291504,0.988233208656311,0.9764022827148438,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,P1
True,A01T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.1380159854888916,0.8951968550682068,0.9930742979049683,0.9860159754753113,0.11438005686452962,0.11259674757575186,0.16671585146435852,0.6659654617948603,0.5184314004758147,273,20000,P2
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.9925037622451782,1.5006017684936523,0.9786077737808228,0.9575602985371163,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.8291031122207642,1.3880165815353394,0.9870131015777588,0.9736796021461487,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,FCz
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,2.5073752403259277,1.9944126605987549,0.9507965445518494,0.9037870764732361,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,C5
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,2.7253305912017822,2.168222427368164,0.9525938630104065,0.9067131280899048,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,C6
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.3680119514465332,1.0771114826202393,0.9914324879646301,0.9823707938194275,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,CPz
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.4067409038543701,1.0939327478408813,0.9893759489059448,0.978416383266449,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,P1
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,1.1767258644104004,0.9268667101860046,0.9926057457923889,0.9850484728813171,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,P2
True,A01T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,interpolation_residual,2.3442397117614746,1.855635166168213,0.9700598120689392,0.9404510855674744,0.08949118439502098,0.0836701693604432,0.15183084989194598,0.47795609854864723,0.40613634742719884,273,20000,POz
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.152590751647949,1.5969165563583374,0.9698176383972168,0.9404522610406204,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.6884042024612427,1.3325998783111572,0.9792119264602661,0.958281397819519,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,FC3
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.9249264001846313,1.5178899765014648,0.9775835275650024,0.9556071162223816,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,FC1
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.5211892127990723,1.9998455047607422,0.9655368328094482,0.9322366714477539,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,FCz
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.8862807750701904,2.2781100273132324,0.9536150097846985,0.9085728526115417,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,FC2
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.573948860168457,2.0262579917907715,0.9600891470909119,0.9215212464332581,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,FC4
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,3.457369565963745,2.52258038520813,0.8799756169319153,0.773514986038208,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,C5
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.9847757816314697,1.5773078203201294,0.9749912619590759,0.9503900408744812,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,C1
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.4790961742401123,1.9560210704803467,0.9661605954170227,0.9333367943763733,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,Cz
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.8369264602661133,1.4632474184036255,0.9803116321563721,0.9607048630714417,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,C2
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,3.2932851314544678,2.502364158630371,0.9293175339698792,0.8614941239356995,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,C6
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.3984065055847168,1.1082419157028198,0.9845179915428162,0.9690316319465637,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,CP3
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.616471529006958,1.3074142932891846,0.9821606278419495,0.9643166065216064,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,CP1
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.4821052551269531,1.176836371421814,0.986516535282135,0.9727935194969177,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,CPz
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.4136674404144287,1.119370460510254,0.9879344701766968,0.9750714302062988,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,CP2
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.759537935256958,1.3983502388000488,0.9806697964668274,0.9601273536682129,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,CP4
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.2228518724441528,0.9629780054092407,0.9885402321815491,0.9771510362625122,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,P1
True,A02T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.135831356048584,0.8981736302375793,0.9910967946052551,0.982268214225769,0.17460619113231518,0.1809557216356072,0.2426734617267418,0.8597348810054761,0.745882443151709,270,20000,P2
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.9044163227081299,1.3469483852386475,0.976505696773529,0.9535567923172644,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.5116925239562988,1.206659197807312,0.9862431287765503,0.9726213216781616,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,FC1
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.4943352937698364,1.1875818967819214,0.9889847040176392,0.9761943817138672,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,FCz
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,2.6317906379699707,2.0914270877838135,0.9613563418388367,0.9239847660064697,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,FC2
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,3.3587734699249268,2.409031629562378,0.8870044946670532,0.7862472534179688,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,C5
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.6851497888565063,1.3557732105255127,0.9819952249526978,0.9642379283905029,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,C1
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.4631693363189697,1.1902623176574707,0.987709641456604,0.9750686883926392,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,C2
True,A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,3.10856032371521,2.3168065547943115,0.9379112124443054,0.8765964508056641,0.17580542978012811,0.196278779768862,0.26053357341650507,0.8945040859445413,0.7899351746047635,270,20000,C6
