Condition,Trial,Channel,Pearson_r,MSE
Baseline (in_silence),trial_07,F3,-0.17834433403114625,8.590691985592527e-12
Baseline (in_silence),trial_07,F4,-0.10412373684843278,9.75302586853586e-12
Baseline (in_silence),trial_07,F8,-0.023030347125139423,1.745737150009278e-11
Baseline (in_silence),trial_07,T3,-0.07752997223249239,1.1519646840601576e-11
Baseline (in_silence),trial_07,T4,-0.49793389449382786,6.445486687608032e-11
Baseline (in_silence),trial_07,T5,0.06046208917698482,1.0466630836423576e-11
Baseline (in_silence),trial_07,T6,-0.30019361806520645,5.516101773296055e-11
Baseline (in_silence),trial_08,F7,-0.16727730116240067,1.3389660763307667e-11
Baseline (in_silence),trial_08,F3,-0.14858328499418574,7.135428642611752e-12
Baseline (in_silence),trial_08,F4,-0.1321621228032229,1.0022445721081361e-11
Baseline (in_silence),trial_08,F8,-0.26255583866139265,1.0287915532923381e-11
Baseline (in_silence),trial_08,T3,-0.10546770253976857,1.0554917922869417e-11
Baseline (in_silence),trial_08,T4,-0.28412048134322454,1.1203453043967135e-11
Baseline (in_silence),trial_08,T5,-0.07705371465763819,1.3025454294663692e-11
Baseline (in_silence),trial_08,T6,-0.12491359343675755,3.8024577524810123e-11
Baseline (in_silence),trial_09,F7,-0.14227729109655232,2.6781808059349666e-11
Baseline (in_silence),trial_09,F3,-0.3439744096330627,1.8763778520514656e-11
Baseline (in_silence),trial_09,F4,-0.04279340460664886,1.2774990987272379e-11
Baseline (in_silence),trial_09,F8,-0.2892857292926744,4.3527739670048366e-11
Baseline (in_silence),trial_09,T3,-0.21567341576185534,5.737903676885566e-11
Baseline (in_silence),trial_09,T4,-0.20947525816000903,5.860624430642705e-11
Baseline (in_silence),trial_09,T5,-0.12438414060630677,4.108059575261909e-11
Baseline (in_silence),trial_09,T6,0.0999584764482864,4.2826311337947986e-11
Baseline (in_silence),trial_10,F7,-0.13254460195917717,3.053970647658842e-11
Baseline (in_silence),trial_10,F3,-0.10770753568892383,1.0855870726667315e-11
Baseline (in_silence),trial_10,F4,-0.12865564819833242,1.192189650267445e-11
Baseline (in_silence),trial_10,F8,-0.227128579012585,1.537831265313685e-11
Baseline (in_silence),trial_10,T3,-0.25945620961843735,2.500746565254843e-11
Baseline (in_silence),trial_10,T4,-0.2781361540569164,1.1762045399298475e-11
