n_input_channels,rmse_loso,mae_loso,pearson_r_loso,r2_loso,rmse_subject_indep,mae_subject_indep,pearson_r_subject_indep,r2_subject_indep,rmse_delta_subject_minus_loso,mae_delta_subject_minus_loso,pearson_delta_subject_minus_loso,r2_delta_subject_minus_loso
5,10.412669941260104,8.139839489682094,-0.010368371543054877,-0.0016657343246929814,10.560012297865553,8.244284644447053,-0.011921751269397336,-0.0021305242259350215,0.14734235660544925,0.1044451547649583,-0.001553379726342459,-0.00046478990124204016
10,10.413845864777851,8.139036329857952,-0.008774193102671551,-0.0015038370706448065,10.566162055929293,8.246321974187953,-0.010416974912328606,-0.0019496306979726165,0.15231619115144213,0.10728564433000187,-0.0016427818096570544,-0.00044579362732781
15,10.338341682434978,8.048317214993556,-0.012172283254791397,-0.002007322592748853,10.435155094310863,8.12154039977908,-0.013902745044293627,-0.0025228027938933,0.09681341187588544,0.07322318478552425,-0.00173046178950223,-0.000515480201144447
