test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,n_test_trials,n_test_samples,model_loaded,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,channel
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.271522045135498,1.752272605895996,0.9742981791496277,0.9490722614845558,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.118204355239868,1.6782112121582031,0.9778198003768921,0.9548180103302002,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,FC3
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.2474045753479004,1.7658839225769043,0.9780192375183105,0.9561318159103394,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,FC1
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.893643617630005,2.265075206756592,0.9666862487792969,0.9337798953056335,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,FCz
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.06680965423584,1.6184382438659668,0.9819790124893188,0.9633662700653076,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,FC2
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.2114646434783936,1.7446110248565674,0.9772552251815796,0.9543358087539673,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,FC4
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,3.0174686908721924,2.4052937030792236,0.928780198097229,0.8618488311767578,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,C5
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.120011329650879,1.683539628982544,0.9788818359375,0.9576952457427979,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,C1
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.8727855682373047,2.2715647220611572,0.9661726355552673,0.9320641160011292,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,Cz
A01T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,273,273000,True,2.033115863800049,1.6130858659744263,0.9814735651016235,0.962415874004364,2.7932167437651425,1.80061583714562,1.435253245736857,1.1326567581817961,0.5573580906069786,C2
