test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
A02T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,1.1330893200193528,0.8936207109362546,0.9912468526262053,0.9822001231160452,0.8033385617442614,1.1023977751763805,1.1799979745905809,0.4330207984408091,0.3957741640213027,270,270000,P2
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.1995007157112147,1.5657990191146405,0.9688379351494211,0.937546955835584,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.6563628452596504,1.3512505490996092,0.983250913854344,0.9667587217501704,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,FC1
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.5501758970449906,1.2260716596656254,0.9870200205982358,0.9742039095887401,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,FCz
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,2.8237215994007454,2.2573102497345108,0.9556361857621938,0.91178045890685,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,FC2
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,4.052815315329583,3.0920319553113984,0.8437096517844181,0.6874436718864785,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,C5
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.9184771541223107,1.5855541194409584,0.9766533454463573,0.9531486412824198,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,C1
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.8698828465413562,1.565929576704367,0.9803980798561701,0.9589415680001903,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,C2
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,3.749511469950837,2.9056737980967045,0.9058890007127417,0.818428710982568,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,C6
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.5416332891519,1.3035203926058316,0.9838388439463708,0.967302534564681,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,CP1
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.031413745446029,0.822422184215313,0.9936109151929143,0.9867304206342843,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,CPz
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.2397459762593084,0.9775963831061385,0.9908253266676926,0.9806569284994022,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,CP2
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.106999641738635,0.8837196783357004,0.9908543138874601,0.981244434718818,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,P1
A02T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,spherical_spline,1.0342260023771577,0.8185076830594838,0.9927762747885267,0.9851707355050741,0.992589519415083,0.858157312414187,0.5841690988808523,0.37291266700857967,0.5530589159016581,270,270000,P2
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,3.0564050827834355,2.094252075510436,0.9377910601822849,0.8701952402575539,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,2.0796453092768865,1.7171544748360759,0.9765578857494386,0.9535730159658604,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,FCz
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,5.492235175913278,4.570771780438256,0.7517392728358251,0.42599864235991636,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,C5
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,4.698217047961195,3.799078868301706,0.8657151482017006,0.7149218336940051,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,C6
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,1.3198457894532611,1.084611638285954,0.9891139330531207,0.9782711016050675,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,CPz
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,1.1565481098413777,0.9221114610168625,0.9903415822098456,0.9795278901262959,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,P1
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,1.111113054567343,0.8805463164141955,0.9918316950709407,0.9828838845726031,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,P2
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,spherical_spline,2.1246882788814405,1.6854899892802067,0.9690206203580457,0.928331631505433,1.7634726733835053,1.05355560045205,1.074385943158176,1.0347761300360272,0.16912024408078563,270,270000,POz
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.982145877828382,2.197091292131526,0.9690820540460402,0.9374595819404122,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.634545119686262,2.0701444063992334,0.9736047136521008,0.9470128889762369,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,FC3
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.580822228012435,2.0415585418163302,0.9760131074653398,0.9518018112480858,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,FC1
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,3.363577997723144,2.6560633717254394,0.9608500722047394,0.9215519980471207,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,FCz
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.504658979615197,1.980972515407281,0.977575669170088,0.9545411840277745,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,FC2
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.458557486870625,1.9268247906211597,0.9774450824888997,0.9551750313088607,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,FC4
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,5.6291897339781825,4.296852238698068,0.8795983570878877,0.7270393531274479,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,C5
A03T,5,"Fz,C3,C4,Pz,POz",17,spherical_spline,2.8948835955357373,2.2845728108358196,0.9718413308100259,0.9416575257515177,1.2196161659560447,1.202432887741817,5.712411720214092,0.7561011866722884,0.480337034516492,270,270000,C1
