test_subject,n_input_channels,input_channels,n_reconstructed_channels,n_test_samples,method,rmse,mae,pearson_r,r2
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,219000,idw_interpolation,5.618683338165283,4.264793872833252,0.8887878060340881,0.7853542709657751
A06T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,219000,hybrid_residual_mlp,2.863589286804199,2.1246535778045654,0.9720029234886169,0.9442461796979155
A07T,5,"Fz,C3,C4,Pz,POz",17,271000,idw_interpolation,3.002363443374634,2.3408548831939697,0.9380128383636475,0.878279005268356
A07T,5,"Fz,C3,C4,Pz,POz",17,271000,hybrid_residual_mlp,2.1673226356506348,1.689191222190857,0.9677839875221252,0.936571261150822
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,271000,idw_interpolation,2.872445821762085,2.235572576522827,0.9440315365791321,0.8894241579016151
A07T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,271000,hybrid_residual_mlp,1.750871181488037,1.354339599609375,0.9792500138282776,0.9589167341746745
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,271000,idw_interpolation,3.8652150630950928,2.9496982097625732,0.8943767547607422,0.7983039435541338
A07T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,271000,hybrid_residual_mlp,1.8865128755569458,1.452871322631836,0.9757171273231506,0.9519526301178377
A08T,5,"Fz,C3,C4,Pz,POz",17,264000,idw_interpolation,4.278144836425781,3.287717342376709,0.9435266852378845,0.8881335100643414
A08T,5,"Fz,C3,C4,Pz,POz",17,264000,hybrid_residual_mlp,2.729024887084961,2.097912073135376,0.9771745204925537,0.9544798063832346
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,264000,idw_interpolation,3.8359642028808594,2.9449381828308105,0.9547579884529114,0.9096064088437009
A08T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,264000,hybrid_residual_mlp,1.892935872077942,1.4540042877197266,0.9889472723007202,0.9779879573718792
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,264000,idw_interpolation,5.4139533042907715,4.051017761230469,0.9041060209274292,0.8155264193220035
A08T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,264000,hybrid_residual_mlp,2.213247537612915,1.653228521347046,0.984524130821228,0.9691705906857777
A09T,5,"Fz,C3,C4,Pz,POz",17,237000,idw_interpolation,5.420701503753662,4.165093898773193,0.9162452220916748,0.8387877832128682
A09T,5,"Fz,C3,C4,Pz,POz",17,237000,hybrid_residual_mlp,3.4432427883148193,2.644230842590332,0.9669379591941833,0.9349537466333775
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,237000,idw_interpolation,4.837449550628662,3.7143518924713135,0.9344037175178528,0.8706670090660593
A09T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,237000,hybrid_residual_mlp,2.279031276702881,1.7052541971206665,0.9855623841285706,0.9712937174095602
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,237000,idw_interpolation,7.1509175300598145,5.305665016174316,0.8611250519752502,0.7415248775708942
A09T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,237000,hybrid_residual_mlp,2.9111618995666504,2.121070623397827,0.9783681631088257,0.9571621282813672
